firm,benefits,culture,diversity & inclusion,flexibility,growth,job role clarity,job security,management,pay,people,performance feedback,remote work,stress & pressure,teamwork & collaboration,tools & resources,training & onboarding,travel,work-life balance
LV,4.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,2.5,0.0,0.0,4.0
Lancaster-University,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leaders-Romans-Group,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Leeds-City-Council,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0
Legal-and-General,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lidl,0.0,0.0,0.0,1.0,4.0,1.5,0.0,1.0,3.727272727272727,3.3333333333333335,0.0,0.0,1.5,5.0,0.0,2.0,0.0,1.6666666666666667
LinkedIn,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lloyds-Banking-Group,4.166666666666667,4.75,0.0,4.333333333333333,2.1,1.5,1.0,1.2,3.0,2.875,0.0,3.0,1.5,3.0,2.0,2.3333333333333335,0.0,4.333333333333333
London-Underground,4.0,0.0,4.0,3.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
Loughborough-University,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macdonald-Hotels-and-Resorts,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Malmaison,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0
Manchester-Metropolitan-University,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
Manpower,0.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,4.0
Marks-and-Spencer,4.0,3.0,0.0,2.0,4.0,2.0,0.0,2.6,2.7777777777777777,3.5714285714285716,0.0,0.0,1.5,3.0,2.5,2.6666666666666665,1.0,2.3846153846153846
